#options: 640x360 fps=2500000/104271 timebase=104271/2500000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=980 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:27.52 tex:25410 mv:10002 misc:116 imb:920 pmb:0 smb:0 d:- ref:;
in:133 out:134 type:b dur:2 cpbdur:2 q:17.63 tex:35665 mv:4857 misc:494 imb:77 pmb:771 smb:72 d:- ref:0 ;
in:136 out:135 type:P dur:2 cpbdur:2 q:17.58 tex:140928 mv:5554 misc:270 imb:256 pmb:659 smb:5 d:- ref:0 w:7,113,25,6,58,12,57,14 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:17.53 tex:39997 mv:5085 misc:558 imb:83 pmb:747 smb:90 d:- ref:0 ;
in:138 out:137 type:P dur:2 cpbdur:2 q:17.85 tex:120482 mv:5647 misc:295 imb:287 pmb:625 smb:8 d:- ref:0 w:7,113,25,6,58,12,57,14 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:17.72 tex:34711 mv:4326 misc:659 imb:54 pmb:742 smb:124 d:- ref:0 ;
in:140 out:139 type:P dur:2 cpbdur:2 q:18.16 tex:116939 mv:5988 misc:257 imb:338 pmb:579 smb:3 d:- ref:0 w:6,55,30,6,57,14,56,16 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:18.00 tex:39653 mv:4096 misc:547 imb:76 pmb:755 smb:89 d:- ref:0 ;
in:142 out:141 type:P dur:2 cpbdur:2 q:18.50 tex:107900 mv:5675 misc:313 imb:348 pmb:563 smb:9 d:- ref:0 w:5,27,34,6,55,18,54,20 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:18.33 tex:40307 mv:4660 misc:553 imb:75 pmb:750 smb:95 d:- ref:0 ;
in:144 out:143 type:P dur:2 cpbdur:2 q:18.79 tex:90921 mv:6052 misc:339 imb:357 pmb:548 smb:15 d:- ref:0 w:4,13,40,6,54,20,53,22 ;
in:143 out:144 type:b dur:2 cpbdur:2 q:18.65 tex:39373 mv:4408 misc:611 imb:81 pmb:732 smb:107 d:- ref:0 ;
in:146 out:145 type:P dur:2 cpbdur:2 q:19.04 tex:85648 mv:6129 misc:343 imb:432 pmb:471 smb:17 d:- ref:0 w:6,47,57,6,47,34,48,32 ;
in:145 out:146 type:b dur:2 cpbdur:2 q:18.92 tex:46914 mv:5639 misc:487 imb:95 pmb:748 smb:77 d:- ref:0 ;
in:147 out:147 type:P dur:2 cpbdur:2 q:19.28 tex:60591 mv:5341 misc:516 imb:347 pmb:502 smb:71 d:- ref:0 w:6,53,37,6,51,26,53,22 ;
in:148 out:148 type:P dur:2 cpbdur:2 q:19.28 tex:47184 mv:5615 misc:449 imb:466 pmb:404 smb:50 d:- ref:0 w:4,13,40,6,52,24,52,24 ;
in:149 out:149 type:P dur:2 cpbdur:2 q:19.46 tex:47214 mv:5563 misc:463 imb:601 pmb:274 smb:45 d:- ref:0 w:5,21,74,6,39,50,46,36 ;
in:150 out:150 type:P dur:2 cpbdur:2 q:19.46 tex:32328 mv:5639 misc:393 imb:576 pmb:321 smb:23 d:- ref:0 w:6,35,97,6,42,44,41,46 ;
in:151 out:151 type:P dur:2 cpbdur:2 q:19.62 tex:28421 mv:5182 misc:645 imb:542 pmb:278 smb:100 d:- ref:0 w:7,71,96,6,44,40,41,46 ;
